Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1675.900024,1678.140015,1653.520020,1666.770020,1666.770020,3458250000
2020-01-03,1655.020020,1664.040039,1648.540039,1660.869995,1660.869995,3461290000
2020-01-06,1650.660034,1664.849976,1645.510010,1663.260010,1663.260010,3674070000
2020-01-07,1659.729980,1662.099976,1653.329956,1658.310059,1658.310059,3420380000
2020-01-08,1658.469971,1669.290039,1658.229980,1663.589966,1663.589966,3720890000
2020-01-09,1669.859985,1671.819946,1663.780029,1664.989990,1664.989990,3638390000
2020-01-10,1665.469971,1666.750000,1654.010010,1657.640015,1657.640015,3212970000
2020-01-13,1658.979980,1669.609985,1652.319946,1669.609985,1669.609985,3456380000
2020-01-14,1668.390015,1684.339966,1662.859985,1675.739990,1675.739990,3665130000
2020-01-15,1673.689941,1688.119995,1673.400024,1682.400024,1682.400024,3716840000
2020-01-16,1691.819946,1706.170044,1691.819946,1705.219971,1705.219971,3535080000
2020-01-17,1712.930054,1715.079956,1697.689941,1699.640015,1699.640015,3698170000
2020-01-21,1695.449951,1695.449951,1684.260010,1685.900024,1685.900024,4105340000
2020-01-22,1691.069946,1694.369995,1682.939941,1684.459961,1684.459961,3619850000
2020-01-23,1680.540039,1687.849976,1666.469971,1685.010010,1685.010010,3764860000
2020-01-24,1687.810059,1689.150024,1653.189941,1662.229980,1662.229980,3707130000
2020-01-27,1660.819946,1660.819946,1632.260010,1644.140015,1644.140015,3823100000
2020-01-28,1651.130005,1661.189941,1651.130005,1658.310059,1658.310059,3526720000
2020-01-29,1661.079956,1663.770020,1649.000000,1649.219971,1649.219971,3584500000
2020-01-30,1641.469971,1648.430054,1630.939941,1648.219971,1648.219971,3787250000
2020-01-31,1643.689941,1643.689941,1610.640015,1614.060059,1614.060059,4527830000
2020-02-03,1618.800049,1636.880005,1618.800049,1632.209961,1632.209961,3757910000
2020-02-04,1644.420044,1661.000000,1644.420044,1656.770020,1656.770020,3995320000
2020-02-05,1667.949951,1682.959961,1667.380005,1681.920044,1681.920044,4117730000
2020-02-06,1685.439941,1689.170044,1677.290039,1677.459961,1677.459961,3868370000
2020-02-07,1673.530029,1673.530029,1654.310059,1656.780029,1656.780029,3730650000
2020-02-10,1654.920044,1667.699951,1653.670044,1667.670044,1667.670044,3450350000
2020-02-11,1674.500000,1686.010010,1674.000000,1677.510010,1677.510010,3760550000
2020-02-12,1684.390015,1690.060059,1683.020020,1689.380005,1689.380005,3926380000
2020-02-13,1684.579956,1696.540039,1680.380005,1693.739990,1693.739990,3498240000
2020-02-14,1694.869995,1695.170044,1683.469971,1687.579956,1687.579956,3398040000
2020-02-18,1686.030029,1687.380005,1674.599976,1683.520020,1683.520020,3746720000
2020-02-19,1685.329956,1698.160034,1685.329956,1692.569946,1692.569946,3600150000
2020-02-20,1689.420044,1698.910034,1677.619995,1696.069946,1696.069946,4007320000
2020-02-21,1694.729980,1694.729980,1673.199951,1678.609985,1678.609985,3899270000
2020-02-24,1676.650024,1676.650024,1620.140015,1628.099976,1628.099976,4842960000
2020-02-25,1630.869995,1633.109985,1568.969971,1571.900024,1571.900024,5591510000
2020-02-26,1572.270020,1588.319946,1551.390015,1552.760010,1552.760010,5478110000
2020-02-27,1545.250000,1553.979980,1495.890015,1497.869995,1497.869995,7058840000
2020-02-28,1496.829956,1496.829956,1448.209961,1476.430054,1476.430054,8563850000
2020-03-02,1476.589966,1518.510010,1463.060059,1518.489990,1518.489990,6376400000
2020-03-03,1518.520020,1539.739990,1472.739990,1486.079956,1486.079956,6355940000
2020-03-04,1500.150024,1531.199951,1494.579956,1531.199951,1531.199951,5035480000
2020-03-05,1522.849976,1522.849976,1462.920044,1478.819946,1478.819946,5575550000
2020-03-06,1476.630005,1476.630005,1417.270020,1449.219971,1449.219971,6552140000
2020-03-09,1396.239990,1396.239990,1310.760010,1313.439941,1313.439941,8423050000
2020-03-10,1329.880005,1351.479980,1288.930054,1350.900024,1350.900024,7635960000
2020-03-11,1349.239990,1349.239990,1249.280029,1264.300049,1264.300049,7374110000
2020-03-12,1253.869995,1253.869995,1121.719971,1122.930054,1122.930054,8829380000
2020-03-13,1153.760010,1210.130005,1109.390015,1210.130005,1210.130005,8258670000
2020-03-16,1174.969971,1174.969971,1035.189941,1037.420044,1037.420044,7781540000
2020-03-17,1043.869995,1106.680054,1011.950012,1106.510010,1106.510010,8358500000
2020-03-18,1057.650024,1062.880005,966.219971,991.159973,991.159973,8755780000
2020-03-19,988.710022,1069.150024,968.859985,1058.750000,1058.750000,7946710000
2020-03-20,1064.719971,1087.719971,1009.530029,1013.890015,1013.890015,9044690000
2020-03-23,1014.080017,1017.890015,966.419983,1002.400024,1002.400024,7402180000
2020-03-24,1041.069946,1096.540039,1041.069946,1096.540039,1096.540039,7547350000
2020-03-25,1100.140015,1146.810059,1075.849976,1110.369995,1110.369995,8285670000
2020-03-26,1116.300049,1180.319946,1116.300049,1180.319946,1180.319946,7753160000
2020-03-27,1163.920044,1163.920044,1125.680054,1131.989990,1131.989990,6194330000
2020-03-30,1134.140015,1158.640015,1119.949951,1158.319946,1158.319946,5746220000
2020-03-31,1155.680054,1164.630005,1130.339966,1153.099976,1153.099976,6568290000