"Grouping Variable/N";AAR(-10);AAR(-9);AAR(-8);AAR(-7);AAR(-6);AAR(-5);AAR(-4);AAR(-3);AAR(-2);AAR(-1);AAR(0);AAR(1);AAR(2);AAR(3);AAR(4);AAR(5);AAR(6);AAR(7);AAR(8);AAR(9);AAR(10);AAR(11);AAR(12);AAR(13);AAR(14);AAR(15);AAR(16);AAR(17);AAR(18);AAR(19);AAR(20);AAR(21);AAR(22);AAR(23);AAR(24);AAR(25);AAR(26);AAR(27);AAR(28);AAR(29);AAR(30)
ONE;-0.005;0.0037;-0.0001;0.0019;-0.0001;0.0013;-0.0004;0.0022;0.0023;0.0011;-0.0031;-0.006;-0.006;-0.005;0.0015;-0.007;0.0038;0.0039;-0.0031;0.0042;-0.003;-0.0073;-0.0078;0.0137;-0.002;-0.0073;0.0003;-0.0113;-0.0097;-0.0052;-0.0093;0.0008;-0.0074;0.0225;0.0151;0.0071;-0.0033;-0.0008;-0.0102;-0.0006;-0.0012
"N(ONE, AAR(i))";311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311;311
"Pos:Neg(ONE, AAR(i))";135:176;175:136;162:149;162:149;162:149;152:159;137:174;174:137;143:168;150:161;128:183;117:194;106:205;126:185;170:141;119:192;162:149;191:120;123:188;196:115;132:179;119:192;154:157;212:99;149:162;151:160;167:144;156:155;154:157;174:137;123:188;157:154;133:178;195:116;174:137;163:148;155:156;171:140;108:203;170:141;156:155
"Patell Z";-3.3562;1.5304;0.9624;1.5059;0.174;-0.0515;0.244;2.389;-0.2052;-0.7457;-3.275;-5.1851;-7.6597;-7.2994;0.8113;-11.963;-3.67;11.1817;-6.5158;9.4164;-8.5715;-5.9148;-12.9706;20.6739;-6.328;-13.8498;12.6089;-18.7914;-5.5492;-12.7641;-18.5573;-9.1963;-24.5376;25.7;21.8335;22.8729;-3.3946;0.7686;-14.2628;-7.0374;-1.3745
"Generalized Sign Z";-2.4439;2.0926;0.6183;0.6183;0.6183;-0.5159;-2.217;1.9792;-1.5366;-0.7427;-3.2378;-4.4853;-5.7328;-3.4646;1.5256;-4.2585;0.6183;3.9072;-3.8048;4.4743;-2.7841;-4.2585;-0.289;6.2889;-0.8561;-0.6293;1.1853;-0.0622;-0.289;1.9792;-3.8048;0.0512;-2.6707;4.3609;1.9792;0.7317;-0.1756;1.639;-5.506;1.5256;-0.0622
"Csect T";-3.126;1.6984;-0.0543;1.5168;-0.0764;1.2476;-0.2696;1.2502;1.7419;0.8472;-2.4873;-4.8285;-5.1793;-3.4928;1.0655;-3.6742;1.5155;2.0674;-2.0865;1.8296;-1.7378;-4.0203;-2.2148;6.7839;-0.8588;-1.8337;0.0898;-2.0493;-2.0168;-0.8477;-1.6556;0.2115;-2.0257;4.9586;3.9688;1.5224;-1.2993;-0.3101;-4.958;-0.2084;-0.4636
"StdCSect Z";-2.3225;1.0883;0.8987;1.5652;0.1516;-0.0542;0.2197;1.6496;-0.1999;-0.7519;-3.1349;-5.0941;-7.2026;-5.2372;0.5856;-6.0806;-1.676;5.6023;-4.4648;4.683;-4.7095;-3.5492;-4.1746;9.46;-2.7472;-3.4012;3.7944;-3.5553;-0.8866;-1.9255;-3.105;-2.2198;-4.2315;4.2107;3.567;1.8398;-1.4452;0.1825;-5.6101;-1.5664;-0.3872
"Rank Z";-0.9208;0.5575;0.3661;0.4849;0.1243;-0.0698;-0.2531;0.8489;-0.2192;-0.2309;-1.0981;-1.5456;-2.1483;-1.5215;0.6755;-1.9108;0.229;1.574;-1.4319;1.9429;-1.4035;-1.5098;-0.3704;3.2652;-0.4296;-0.3563;0.6457;-0.008;-0.178;1.0213;-1.8987;-0.0739;-1.0365;2.246;1.2421;0.5569;-0.2937;0.9451;-2.4546;0.5898;0.1963
"Generalized Rank T";-0.8406;0.4359;0.3289;0.4849;0.1049;-0.0846;-0.2622;0.671;-0.2512;-0.2736;-1.1155;-1.5888;-2.1813;-1.4617;0.4887;-1.7112;-0.1354;1.4266;-1.3077;1.5961;-1.3039;-1.2288;-0.7239;2.7538;-0.5098;-0.6208;0.7807;-0.5415;-0.1676;-0.0306;-1.2445;-0.5243;-1.0591;1.6795;0.9162;0.3299;-0.347;0.3912;-1.8831;-0.143;0.1314
"Adjusted Patell Z";-3.3535;1.5292;0.9616;1.5047;0.1739;-0.0515;0.2438;2.3871;-0.205;-0.7451;-3.2724;-5.1809;-7.6535;-7.2936;0.8107;-11.9534;-3.667;11.1727;-6.5106;9.4089;-8.5646;-5.9101;-12.9601;20.6573;-6.323;-13.8387;12.5987;-18.7763;-5.5447;-12.7539;-18.5424;-9.1889;-24.5178;25.6794;21.8159;22.8545;-3.3919;0.768;-14.2513;-7.0317;-1.3734
"Adjusted StdCSect Z";-2.3207;1.0874;0.898;1.5639;0.1515;-0.0542;0.2196;1.6483;-0.1998;-0.7513;-3.1324;-5.09;-7.1968;-5.233;0.5852;-6.0757;-1.6747;5.5977;-4.4611;4.6793;-4.7057;-3.5463;-4.1712;9.4523;-2.745;-3.3985;3.7914;-3.5524;-0.8858;-1.924;-3.1025;-2.218;-4.228;4.2073;3.5641;1.8383;-1.444;0.1823;-5.6056;-1.5652;-0.3869
"Generalized Rank Z";-2.8072;1.4568;1.0988;1.62;0.3506;-0.2825;-0.8765;2.2422;-0.8389;-0.9141;-3.7244;-5.3045;-7.2829;-4.8811;1.6325;-5.7145;-0.4523;4.7621;-4.3665;5.3287;-4.3552;-4.1043;-2.4182;9.1909;-1.7029;-2.0739;2.6068;-1.8094;-0.56;-0.1021;-4.1572;-1.7511;-3.5389;5.6112;3.0623;1.1039;-1.159;1.3077;-6.289;-0.4782;0.439
"Skewness Corrected T";-3.3214;2.0928;-0.102;1.465;-0.0682;1.3136;-0.3168;1.1777;1.8726;0.8864;-2.3776;-5.527;-5.3891;-3.7795;1.042;-3.8636;1.5331;2.0997;-1.9738;1.4251;-1.811;-4.716;-2.4829;6.6293;-0.8626;-1.8693;0.0861;-2.1;-2.0963;-0.8756;-1.5337;0.2265;-2.0506;4.6381;4.7649;1.9332;-1.3256;-0.3107;-4.8087;-0.2384;-0.4669
Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"N(Other, AAR(i))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pos:Neg(Other, AAR(i))";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Patell Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Sign Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Csect T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"StdCSect Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rank Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Rank T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adjusted Patell Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Adjusted StdCSect Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Generalized Rank Z";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Skewness Corrected T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
